printOutputs,datasetName,nElements,nAttributes,nClasses,classesInLine,maxTreeHeigth,alpha,minLeafElements,timeLimit,totalElementos,totalGalhos,totalFolhas,alturaReal,totalErros,totalAcertos,spentTime
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,137.819783
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,300,630,1,2,1,378,252,1062.938369
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,2,300,630,1,2,1,389,241,1052.054686
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,300
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,141.189806
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,180,630,1,2,1,378,252,585.921045
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,2,180,630,1,2,1,393,237,592.113953
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,300
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,300,100,2,3,2,1,99,102.798583
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,300,100,1,2,1,4,96,10.547999
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,300,100,1,2,1,22,78,7.800229
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",2,0.500000,2,300,100,2,3,2,0,100,32.919602
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",2,0.500000,2,300,200,1,2,1,62,138,1135.356546
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,300,200,3,2,2,22,178,197.371976
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.100000,2,300,200,5,4,3,0,200,1100.668740
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.100000,2,300,1000,1,1,1,467,533,1117.998223
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.100000,2,600,1000,1,1,1,467,533,2264.512954
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,600,1000,1,1,1,467,533,2155.889467
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,600,1000,1,2,1,270,730,2187.677487
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,600
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,1200
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,1200,1000,1,2,1,185,815,3779.379795
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.990000,2,300,1000,1,2,1,107,893,486.859557
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.990000,2,600,1000,1,2,1,107,893,487.605169
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.990000,2,600
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,600,1000,1,1,1,467,533,2144.179417
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,3.000000,2,600,1000,5,4,3,308,692,1601.358941
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,3.000000,2,600,1000,1,2,1,247,753,488.215443
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,6.000000,2,600,1000,1,2,1,57,943,291.507041
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,600,1000,1,2,1,465,535,1897.358737
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,5.000000,2,600
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,360,630,1,2,1,378,252,1133.407569
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.050000,2,180,630,3,3,3,253,377,530.474720
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.005000,2,180,630,2,3,2,253,377,524.490392
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.005000,2,180,630,12,13,4,3,627,566.263955
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,180,630,1,2,1,378,252,646.725485
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,1800,1000,1,2,1,185,815,3759.676275
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,1800
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,1.000000,2,1800
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.005000,2,1800
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,600,1000,1,2,1,465,535,2178.569501
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.005000,2,1800,1000,1,1,1,467,533,6104.982166
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,28800,1000,1,2,1,185,815,3765.786624
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,180.723458
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,180,100,1,2,1,4,96,11.392417
